PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P70;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5222S1;P5222S2;P5222S3;P5222S4;P5222S5;P5222S6;P5222S7;P5222S8;P5222S9;P5222S10;P5222S8A1;P6008
20240101;01;2024;7655976;1;1;01;05;1;2540.5698577;05;2;1;4;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;3;3;;;;;550000;;1;;;;;;;;;;3
20240101;01;2024;7655977;1;1;01;05;1;2226.8419578;05;2;1;4;1;2;1;1;1;2;1;1;3;1;1;1;1;1;1;3;3;;;;;570000;;1;;;;;;;;;;2
20240101;01;2024;7655979;1;1;01;05;1;3423.4033939;05;2;1;4;1;1;1;1;1;2;1;1;4;2;1;1;1;1;1;3;1;;;180000000;1000000;;;1;;;;;;;;;;2
20240101;01;2024;7655980;1;1;01;05;1;6491.0240647;05;2;1;4;1;1;1;1;1;2;1;1;3;2;1;1;1;1;1;3;3;;;;;500000;;1;;;;;;;;;;4
20240101;01;2024;7655981;1;1;01;05;1;2173.8994824;05;2;1;4;1;1;1;1;1;2;1;1;2;2;1;1;1;1;1;3;2;;400000;50000000;600000;;;1;;1;;;;;;;;4
20240101;01;2024;7655982;1;1;01;05;1;3858.6803603;05;2;1;4;1;1;1;1;1;2;1;1;3;2;1;1;1;1;1;3;3;;;;;570000;;;;;;;;;1;;;4
20240101;01;2024;7655983;1;1;01;05;1;2243.6320347;05;2;1;2;1;1;1;1;1;2;1;1;3;3;1;1;1;1;1;3;3;;;;;400000;;1;;;;;;;;;;8
20240101;01;2024;7655984;1;1;01;05;1;1212.2493827;05;2;1;2;1;1;1;1;1;2;1;1;3;2;1;1;1;1;1;3;3;;;;;500000;;1;;;;;;;;;;4
20240101;01;2024;7655986;1;1;01;05;1;901.37418971;05;2;1;4;1;1;1;1;1;2;1;1;3;2;1;1;1;1;1;3;3;;;;;600000;;1;;;;;;;;;;2
20240101;01;2024;7655987;1;1;01;05;1;2011.3716987;05;2;1;4;1;1;1;1;1;2;1;1;3;2;1;1;1;1;1;3;3;;;;;400000;;1;;;;;;;;;;2
20240101;01;2024;7655991;1;1;01;05;1;1607.8203187;05;2;1;4;1;3;2;1;1;2;1;1;1;1;1;1;1;1;1;1;3;;;;;850000;;1;;;;;;;;;;1
