PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSCY;DSI;P7250;P7280;P744;P3074;P7260;P1806;P7430;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4;P7440
20240101;01;2024;7655976;1;1;1;70;05;1;2540.5698577;05;1;;;;;1;;47;1300000;1;0;3;8;1;4;2;2;;1;1200000;.;7112;41;4111;
20240101;01;2024;7655979;1;1;1;70;05;1;3423.4033939;05;1;;;;;;;;;1;140;0;5;1;8;2;3;;2;;.;3341;78;7830;
20240101;01;2024;7655980;1;3;1;70;05;1;6491.0240647;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7655981;1;2;1;70;05;1;2173.8994824;05;;2;1;16;1;;;25;800000;1;1;1;8;1;3;2;2;;2;;5223;9313;41;4111;
20240101;01;2024;7655983;1;1;1;70;05;1;2243.6320347;05;1;;;;;1;;47;400000;1;72;0;3;4;1;2;2;;2;;.;5245;56;5619;
20240101;01;2024;7655983;1;2;1;70;05;1;2243.6320347;05;1;;;;;1;;10;1000000;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7655983;1;3;1;70;05;1;2243.6320347;05;1;;;;;1;;24;300000;1;36;0;3;4;1;2;2;;2;;.;5311;88;8891;
20240101;01;2024;7655983;1;5;1;70;05;1;2243.6320347;05;1;;;;;1;;47;1160000;1;0;2;7;1;5;2;2;;2;;.;8111;07;0722;
20240101;01;2024;7655983;1;8;1;70;05;1;2243.6320347;05;1;;;;;;;;;1;576;0;3;1;5;2;2;;2;;.;5120;10;1040;
20240101;01;2024;7655984;1;2;1;70;05;1;1212.2493827;05;1;;;;;;;;;1;60;0;3;1;5;2;2;;2;;.;5120;56;5611;
20240101;01;2024;7655987;1;2;1;70;05;1;2011.3716987;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7655991;1;1;1;70;05;1;1607.8203187;05;1;;;;;;;;;1;240;0;7;4;1;2;2;;2;;.;2250;75;7500;
20240101;01;2024;7655995;1;1;1;70;05;1;1484.395054;05;1;;;;;;;;;1;42;0;9;4;1;2;2;;2;;.;5223;61;6190;
20240101;01;2024;7655998;1;1;1;70;05;1;1618.7441598;05;1;;;;;;;;;1;125;0;5;2;8;2;3;;2;;.;2330;85;8530;
20240101;01;2024;7655999;1;4;1;70;05;1;649.17032362;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656000;1;4;1;70;05;1;649.17032362;05;1;;;;;1;;47;1160000;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656004;1;2;1;70;05;1;641.34483274;05;1;;;;;;;;;1;36;0;1;1;10;2;2;;2;;.;4321;47;4771;
20240101;01;2024;7656005;1;1;1;70;05;1;739.46451406;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656006;1;1;1;70;05;1;805.00849831;05;1;;;;;;;;;1;84;0;3;1;9;2;2;;2;;.;8142;22;2229;
20240101;01;2024;7656007;1;1;1;70;05;1;657.70232887;05;1;;;;;1;;40;1300000;1;120;0;4;1;10;2;2;;2;;.;5414;80;8010;
20240101;01;2024;7656007;1;2;1;70;05;1;657.70232887;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656008;1;1;1;70;05;1;641.34483274;05;1;;;;;2;1;;1300000;1;0;2;7;4;1;2;2;;2;;.;7112;42;4220;
